doc_id,locutor,raw_speech,cleaned_speech,tokens,lemmas,pos_tags,entities,num_lemmas
entretien_A.txt,CHLOÉ,"Salut Marc ! Dis-moi, t'as avancé sur ton corpus pour le projet sur la presse du XIXe ? J'ai vu que t'avais réservé une session au DataLab de la BnF.","salut marc ! dis-moi, t'as avancé sur ton corpus pour le projet sur la presse du xixe ? j'ai vu que t'avais réservé une session au datalab de la bnf.","salut marc ! dis -moi , t' as avancé sur ton corpus pour le projet sur la presse du xixe ? j' ai vu que t' avais réservé une session au datalab de la bnf .",salut marc dire moi avancer corpus projet presse xix réserver session datalab bnf,VERB PROPN ADV PRON VERB NOUN NOUN NOUN ADJ VERB NOUN NOUN NOUN,marc !(PER),13
entretien_A.txt,MARC,"Ah, salut Chloé ! Oui, justement, j'en sors à l'instant, enfin... virtuellement, quoi. (rire) J'ai passé la matinée à essayer de... de dompter les outils d'OCR sur des vieux numéros du *Petit Journal*. Franchement, c'est... c'est pas toujours une mince affaire, hein.","ah, salut chloé ! oui, justement, j'en sors à l'instant, enfin virtuellement, quoi. j'ai passé la matinée à essayer de de dompter les outils d'ocr sur des vieux numéros du *petit journal*. franchement, c'est c'est pas toujours une mince affaire, hein.","ah , salut chloé ! oui , justement , j' en sors à l' instant , enfin virtuellement , quoi . j' ai passé la matinée à essayer de de dompter les outils d' ocr sur des vieux numéros du * petit journal*. franchement , c' est c' est pas toujours une mince affaire , hein .",salut chloé oui justement sortir instant virtuellement passer matinée essayer dompter outil ocr vieux numéro petit journal*. franchement mince affaire hein,NOUN PROPN ADV ADV VERB NOUN ADV VERB NOUN VERB VERB NOUN NOUN ADJ NOUN ADJ NOUN ADV ADJ NOUN NOUN,hein(PER),21
entretien_A.txt,CHLOÉ,"J'imagine ! La qualité des numérisations de Gallica est bonne, mais l'OCR sur des mises en page anciennes... (grimace) Tu utilises quoi comme outil là-bas ? Ils ont des trucs spécifiques au DataLab ?","j'imagine ! la qualité des numérisations de gallica est bonne, mais l'ocr sur des mises en page anciennes tu utilises quoi comme outil là-bas ? ils ont des trucs spécifiques au datalab ?","j' imagine ! la qualité des numérisations de gallica est bonne , mais l' ocr sur des mises en page anciennes tu utilises quoi comme outil là - bas ? ils ont des trucs spécifiques au datalab ?",imaginer qualité numérisation gallica bon ocr mise page ancien utiliser outil truc datalab,VERB NOUN NOUN ADJ ADJ NOUN NOUN NOUN ADJ VERB NOUN NOUN NOUN,,13
entretien_A.txt,MARC,"Ben, ils ont plusieurs chaînes de traitement. J'ai testé celle basée sur Tesseract, mais aussi une autre, euh... eScriptorium, je crois. C'est assez puissant, mais la prise en main... (soupir) faut s'accrocher. Surtout pour segmenter les articles correctement, tu vois, avec les colonnes, les images...","ben, ils ont plusieurs chaînes de traitement. j'ai testé celle basée sur tesseract, mais aussi une autre, euh escriptorium, je crois. c'est assez puissant, mais la prise en main faut s'accrocher. surtout pour segmenter les articles correctement, tu vois, avec les colonnes, les images","ben , ils ont plusieurs chaînes de traitement . j' ai testé celle basée sur tesseract , mais aussi une autre , euh escriptorium , je crois . c' est assez puissant , mais la prise en main faut s' accrocher . surtout pour segmenter les articles correctement , tu vois , avec les colonnes , les images",ben chaîne traitement tester baser tesseract euh escriptorium croire puissant prise main falloir accrocher segmenter article correctement voir colonne image,ADV NOUN NOUN VERB VERB VERB ADJ NOUN VERB ADJ NOUN NOUN VERB VERB VERB NOUN ADV VERB NOUN NOUN,,20
entretien_A.txt,CHLOÉ,"Ouais, la segmentation, c'est le nerf de la guerre. Et pour le stockage de tes données textuelles après, tu passes par Nakala via Huma-Num ? C'est ce qu'on nous avait recommandé pour la pérennité et le... le partage, enfin, l'exposition des métadonnées.","ouais, la segmentation, c'est le nerf de la guerre. et pour le stockage de tes données textuelles après, tu passes par nakala via huma-num ? c'est ce qu'on nous avait recommandé pour la pérennité et le le partage, enfin, l'exposition des métadonnées.","ouais , la segmentation , c' est le nerf de la guerre . et pour le stockage de tes données textuelles après , tu passes par nakala via huma - num ? c' est ce qu' on nous avait recommandé pour la pérennité et le le partage , enfin , l' exposition des métadonnées .",ouai segmentation nerf guerre stockage donnée textuel passer nakala huma num recommander pérennité partage exposition métadonnée,NOUN NOUN NOUN NOUN NOUN NOUN ADJ VERB NOUN NOUN NOUN VERB NOUN NOUN NOUN NOUN,nakala via huma-num(PER),16
entretien_A.txt,MARC,"Exactement. L'idée, c'est de déposer les textes océrisés et les métadonnées associées sur Nakala. (pause) Mais avant ça, faut que je nettoie le texte, que je l'annote un minimum en TEI... C'est un boulot de dingue. Je me demande si je vais pas devoir... p'têt' me concentrer sur une période plus courte que prévu.","exactement. l'idée, c'est de déposer les textes océrisés et les métadonnées associées sur nakala. mais avant ça, faut que je nettoie le texte, que je l'annote un minimum en tei c'est un boulot de dingue. je me demande si je vais pas devoir p'têt' me concentrer sur une période plus courte que prévu.","exactement . l' idée , c' est de déposer les textes océrisés et les métadonnées associées sur nakala . mais avant ça , faut que je nettoie le texte , que je l' annote un minimum en tei c' est un boulot de dingue . je me demande si je vais pas devoir p' têt ' me concentrer sur une période plus courte que prévu .",idée déposer texte océriser métadonnée associer nakala falloir nettoyer texte annote minimum tei boulot dingue demande devoir p' têt concentrer période court prévoir,NOUN VERB NOUN VERB NOUN ADJ NOUN VERB VERB NOUN NOUN NOUN NOUN NOUN NOUN VERB VERB ADP NUM VERB NOUN ADJ VERB,nakala(LOC),23
entretien_A.txt,CHLOÉ,"Ah, le fameux ""rétrécissement"" du corpus face à la réalité du terrain ! (rire compatissant) Je connais ça. Pour mon projet sur les correspondances, j'ai dû faire pareil. (pause) Tu as regardé si y'avait pas des... des jeux de données déjà océrisés et disponibles, même partiellement ? Des fois, sur des plateformes comme... Persée, ou même des projets hébergés par Huma-Num, on trouve des pépites.","ah, le fameux ""rétrécissement"" du corpus face à la réalité du terrain ! je connais ça. pour mon projet sur les correspondances, j'ai dû faire pareil. tu as regardé si y'avait pas des des jeux de données déjà océrisés et disponibles, même partiellement ? des fois, sur des plateformes comme persée, ou même des projets hébergés par huma-num, on trouve des pépites.","ah , le fameux "" rétrécissement "" du corpus face à la réalité du terrain ! je connais ça . pour mon projet sur les correspondances , j' ai dû faire pareil . tu as regardé si y' avait pas des des jeux de données déjà océrisés et disponibles , même partiellement ? des fois , sur des plateformes comme persée , ou même des projets hébergés par huma - num , on trouve des pépites .",fameux rétrécissement corpus face réalité terrain connaître projet correspondance devoir faire pareil regarder y' jeu donnée océriser disponible partiellement fois plateforme perser projet héberger huma num trouver pépite,ADJ NOUN NOUN NOUN NOUN NOUN VERB NOUN NOUN VERB VERB ADJ VERB PRON NOUN NOUN VERB ADJ ADV NOUN NOUN VERB NOUN VERB NOUN NOUN VERB NOUN,huma-num(ORG),28
entretien_A.txt,MARC,"J'ai cherché, oui. Y'a des choses, mais pas exactement sur les années ou les titres que je vise. C'est toujours le problème, quoi. Le sur-mesure, ça prend un temps fou. (pause courte) Et toi, le DataLab, tu l'as déjà utilisé pour tes propres recherches ?","j'ai cherché, oui. y'a des choses, mais pas exactement sur les années ou les titres que je vise. c'est toujours le problème, quoi. le sur-mesure, ça prend un temps fou. et toi, le datalab, tu l'as déjà utilisé pour tes propres recherches ?","j' ai cherché , oui . y' a des choses , mais pas exactement sur les années ou les titres que je vise . c' est toujours le problème , quoi . le sur-mesure , ça prend un temps fou . et toi , le datalab , tu l' as déjà utilisé pour tes propres recherches ?",chercher oui y' chose année titre viser problème sur-mesure prendre temps fou datalab utiliser propre recherche,VERB NOUN PRON NOUN NOUN NOUN VERB NOUN PROPN VERB NOUN ADJ NOUN VERB ADJ NOUN,,16
entretien_A.txt,CHLOÉ,"Un peu, oui. Surtout pour accéder à des corpus spécifiques qui ne sont pas... comment dire... librement accessibles en téléchargement massif depuis Gallica. Et puis, pour les outils d'analyse de texte qu'ils proposent. J'avais testé Voyant Tools via leur interface, et aussi des scripts Python pour de la stylométrie. C'est pratique d'avoir un environnement déjà configuré.","un peu, oui. surtout pour accéder à des corpus spécifiques qui ne sont pas comment dire librement accessibles en téléchargement massif depuis gallica. et puis, pour les outils d'analyse de texte qu'ils proposent. j'avais testé voyant tools via leur interface, et aussi des scripts python pour de la stylométrie. c'est pratique d'avoir un environnement déjà configuré.","un peu , oui . surtout pour accéder à des corpus spécifiques qui ne sont pas comment dire librement accessibles en téléchargement massif depuis gallica . et puis , pour les outils d' analyse de texte qu' ils proposent . j' avais testé voyant tools via leur interface , et aussi des scripts python pour de la stylométrie . c' est pratique d' avoir un environnement déjà configuré .",oui accéder corpus librement accessible téléchargement massif gallica outil analyse texte proposer tester voir tool interface script python stylométrie pratique environnement configurer,ADV VERB NOUN ADV ADJ NOUN ADJ ADJ NOUN NOUN NOUN VERB VERB VERB NOUN NOUN NOUN NOUN NOUN ADJ NOUN VERB,tools(MISC); python(MISC),22
entretien_A.txt,MARC,"C'est clair. Ça évite de galérer avec les installations sur son propre poste. (pause) Et Huma-Num, au-delà de Nakala, tu utilises d'autres services ? Isidore pour la biblio, j'imagine ?","c'est clair. ça évite de galérer avec les installations sur son propre poste. et huma-num, au-delà de nakala, tu utilises d'autres services ? isidore pour la biblio, j'imagine ?","c' est clair . ça évite de galérer avec les installations sur son propre poste . et huma - num , au-delà de nakala , tu utilises d' autres services ? isidore pour la biblio , j' imagine ?",clair éviter galérer installation propre poste huma num au-delà nakala utilise service isidore biblio imaginer,ADJ VERB VERB NOUN ADJ NOUN ADJ NOUN ADV NOUN NOUN NOUN PROPN NOUN VERB,huma-num(ORG); nakala(LOC); isidore(PER),15
